0,words,frequency
concur,['concur'],10
paced,['paced'],10
advertisement,['advertisement'],10
blissful,['blissful'],10
clinical,['clinical'],10
heaters,['heaters'],10
bolted,['bolted'],10
overs,['overs'],10
widely,['widely'],10
neri,['neri'],10
scratches,['scratches'],10
darlinghurst,['darlinghurst'],10
tidying,['tidying'],10
trimmed,['trimmed'],10
interests,['interests'],10
expressway,['expressway'],10
conciege,['conciege'],10
affects,['affects'],10
successfully,['successfully'],10
toledo,['toledo'],10
negativity,['negativity'],10
ramps,['ramps'],10
sonesta,['sonesta'],10
83,['83'],10
harmless,['harmless'],10
creaky,['creaky'],10
identity,['identity'],10
forthcoming,['forthcoming'],10
accomidations,['accomidations'],10
how,['how'],10
obtrusive,['obtrusive'],10
tablet,['tablet'],10
obtaining,['obtaining'],10
ignoring,['ignoring'],10
iguanas,['iguanas'],10
hubbub,['hubbub'],10
thumb,['thumb'],10
obscured,['obscured'],10
magnetic,['magnetic'],10
waving,['waving'],10
bake,['bake'],10
speedboats,['speedboats'],10
hotline,['hotline'],10
accounting,['accounting'],10
http,['http'],10
comings,['comings'],10
seaview,['seaview'],10
sedan,['sedan'],10
formula,['formula'],10
sedona,['sedona'],10
esperanza,['esperanza'],10
sparsely,['sparsely'],10
cabbies,['cabbies'],10
combinations,['combinations'],10
estacio,['estacio'],10
tagged,['tagged'],10
throughtout,['throughtout'],10
occupies,['occupies'],10
precruise,['precruise'],10
acces,['acces'],10
espana,['espana'],10
ib,['ib'],10
recreation,['recreation'],10
tuned,['tuned'],10
tacked,['tacked'],10
deducted,['deducted'],10
taki,['taki'],10
backpacking,['backpacking'],10
coated,['coated'],10
sophistication,['sophistication'],10
honeymooner,['honeymooner'],10
ensures,['ensures'],10
sachets,['sachets'],10
incidentals,['incidentals'],10
adamant,['adamant'],10
adams,['adams'],10
showerheads,['showerheads'],10
tylenol,['tylenol'],10
cod,['cod'],10
opting,['opting'],10
practices,['practices'],10
fought,['fought'],10
exchanging,['exchanging'],10
exclusively,['exclusively'],10
nonstop,['nonstop'],10
engage,['engage'],10
awfull,['awfull'],10
maldives,['maldives'],10
thay,['thay'],10
honoured,['honoured'],10
shoved,['shoved'],10
coincided,['coincided'],10
tale,['tale'],10
preferable,['preferable'],10
immune,['immune'],10
op,['op'],10
preferably,['preferably'],10
eveything,['eveything'],10
selfish,['selfish'],10
thunderstorm,['thunderstorm'],10
recharge,['recharge'],10
madame,['madame'],10
horn,['horn'],10
exaggerating,['exaggerating'],10
impractical,['impractical'],10
reial,['reial'],10
98,['98'],10
buyer,['buyer'],10
spill,['spill'],10
tame,['tame'],10
scooters,['scooters'],10
voodoo,['voodoo'],10
lulu,['lulu'],10
grossly,['grossly'],10
duh,['duh'],10
karen,['karen'],10
timers,['timers'],10
revealed,['revealed'],10
revelers,['revelers'],10
patron,['patron'],10
fanueil,['fanueil'],10
consulate,['consulate'],10
dubai,['dubai'],10
seventh,['seventh'],10
kennedy,['kennedy'],10
farmers,['farmers'],10
groom,['groom'],10
kenny,['kenny'],10
alexandra,['alexandra'],10
shopper,['shopper'],10
vie,['vie'],10
qualify,['qualify'],10
apologised,['apologised'],10
than,['than'],10
fontana,['fontana'],10
freeze,['freeze'],10
guitar,['guitar'],10
transporation,['transporation'],10
retaurants,['retaurants'],10
smith,['smith'],10
teacher,['teacher'],10
quests,['quests'],10
mortons,['mortons'],10
dan,['dan'],10
chueca,['chueca'],10
consolation,['consolation'],10
alberta,['alberta'],10
pasteries,['pasteries'],10
pasteur,['pasteur'],10
dumpster,['dumpster'],10
loveseat,['loveseat'],10
buenos,['buenos'],10
dumps,['dumps'],10
kabuki,['kabuki'],10
fatty,['fatty'],10
peanuts,['peanuts'],10
jokes,['jokes'],10
punctual,['punctual'],10
mislead,['mislead'],10
tinned,['tinned'],10
fedex,['fedex'],10
grandeur,['grandeur'],10
ä´ù,['\x8aä\x8c´ù'],10
upto,['upto'],10
assign,['assign'],10
contractor,['contractor'],10
perched,['perched'],10
louisiana,['louisiana'],10
graffiti,['graffiti'],10
kupu,['kupu'],10
trafalgar,['trafalgar'],10
gradual,['gradual'],10
pun,['pun'],10
pump,['pump'],10
aloe,['aloe'],10
gr8,['gr8'],10
grandparents,['grandparents'],10
grapes,['grapes'],10
favorably,['favorably'],10
drum,['drum'],10
aplenty,['aplenty'],10
greeter,['greeter'],10
astounded,['astounded'],10
greenwich,['greenwich'],10
mofongo,['mofongo'],10
greedy,['greedy'],10
transactions,['transactions'],10
pedrera,['pedrera'],10
upsets,['upsets'],10
bebo,['bebo'],10
bears,['bears'],10
peking,['peking'],10
currents,['currents'],10
surpised,['surpised'],10
fresher,['fresher'],10
gratis,['gratis'],10
buci,['buci'],10
drier,['drier'],10
uncooked,['uncooked'],10
vincents,['vincents'],10
bbs,['bbs'],10
attribute,['attribute'],10
snobs,['snobs'],10
lucca,['lucca'],10
panhandlers,['panhandlers'],10
handmade,['handmade'],10
blended,['blended'],10
confortel,['confortel'],10
handheld,['handheld'],10
snickers,['snickers'],10
bassano,['bassano'],10
responding,['responding'],10
bulky,['bulky'],10
witha,['witha'],10
apparantly,['apparantly'],10
attributed,['attributed'],10
uncaring,['uncaring'],10
citrus,['citrus'],10
cp,['cp'],10
unbeliveable,['unbeliveable'],10
resources,['resources'],10
bum,['bum'],10
denpasar,['denpasar'],10
clarion,['clarion'],10
1100,['1100'],10
it`s,['it`s'],10
harbourside,['harbourside'],10
unavoidable,['unavoidable'],10
resolving,['resolving'],10
creek,['creek'],10
tattoos,['tattoos'],10
jacuzi,['jacuzi'],10
shuffle,['shuffle'],10
stairway,['stairway'],10
jaccuzzi,['jaccuzzi'],10
educational,['educational'],10
fabulously,['fabulously'],10
muted,['muted'],10
auditori,['auditori'],10
hamilton,['hamilton'],10
handbag,['handbag'],10
deplorable,['deplorable'],10
ajili,['ajili'],10
jewlery,['jewlery'],10
mozzies,['mozzies'],10
cinemas,['cinemas'],10
citizen,['citizen'],10
h1898,['h1898'],10
buisness,['buisness'],10
airways,['airways'],10
quilts,['quilts'],10
unoccupied,['unoccupied'],10
attentiveness,['attentiveness'],10
connectivity,['connectivity'],10
resturaunt,['resturaunt'],10
mount,['mount'],10
smoother,['smoother'],10
partiers,['partiers'],10
partition,['partition'],10
mouffetard,['mouffetard'],10
motto,['motto'],10
guns,['guns'],10
smokes,['smokes'],10
celsius,['celsius'],10
pole,['pole'],10
jetlag,['jetlag'],10
51st,['51st'],10
manning,['manning'],10
stanley,['stanley'],10
cellphone,['cellphone'],10
visually,['visually'],10
cirque,['cirque'],10
token,['token'],9
discusting,['discusting'],9
fontaine,['fontaine'],9
prepay,['prepay'],9
discussing,['discussing'],9
pretends,['pretends'],9
disastrous,['disastrous'],9
russia,['russia'],9
arcotel,['arcotel'],9
braids,['braids'],9
arguments,['arguments'],9
arctic,['arctic'],9
biking,['biking'],9
footage,['footage'],9
cristal,['cristal'],9
braiding,['braiding'],9
foosball,['foosball'],9
tool,['tool'],9
dipped,['dipped'],9
preface,['preface'],9
disgust,['disgust'],9
ryan,['ryan'],9
fong,['fong'],9
unrenovated,['unrenovated'],9
diligent,['diligent'],9
digestive,['digestive'],9
toasts,['toasts'],9
foolish,['foolish'],9
shockingly,['shockingly'],9
fore,['fore'],9
predictable,['predictable'],9
discussions,['discussions'],9
disguise,['disguise'],9
brandenberg,['brandenberg'],9
critic,['critic'],9
dipping,['dipping'],9
timeshares,['timeshares'],9
rounded,['rounded'],9
tiffany,['tiffany'],9
resaurants,['resaurants'],9
barrera,['barrera'],9
dank,['dank'],9
extends,['extends'],9
rampant,['rampant'],9
daquiri,['daquiri'],9
trio,['trio'],9
eleven,['eleven'],9
extemely,['extemely'],9
scraped,['scraped'],9
una,['una'],9
elliot,['elliot'],9
elliott,['elliott'],9
data,['data'],9
those,['those'],9
repetative,['repetative'],9
delicous,['delicous'],9
expertise,['expertise'],9
scrubbing,['scrubbing'],9
scruffy,['scruffy'],9
scrumptious,['scrumptious'],9
extractor,['extractor'],9
tiffin,['tiffin'],9
roundabout,['roundabout'],9
tiger,['tiger'],9
restarants,['restarants'],9
eclipse,['eclipse'],9
d'or,"[""d'or""]",9
treasures,['treasures'],9
factors,['factors'],9
auction,['auction'],9
eddy,['eddy'],9
departures,['departures'],9
baskets,['baskets'],9
thirties,['thirties'],9
daiquiri,['daiquiri'],9
deny,['deny'],9
education,['education'],9
fabienne,['fabienne'],9
boogy,['boogy'],9
rails,['rails'],9
extremley,['extremley'],9
aussies,['aussies'],9
thompson,['thompson'],9
bonfire,['bonfire'],9
resemble,['resemble'],9
rennovation,['rennovation'],9
emp,['emp'],9
scrupulously,['scrupulously'],9
sentosa,['sentosa'],9
entertainments,['entertainments'],9
tuck,['tuck'],9
reckon,['reckon'],9
seatings,['seatings'],9
episode,['episode'],9
regional,['regional'],9
backpacker,['backpacker'],9
balconey,['balconey'],9
backpackers,['backpackers'],9
regal,['regal'],9
deceived,['deceived'],9
er,['er'],9
deeply,['deeply'],9
deceptive,['deceptive'],9
recommened,['recommened'],9
blows,['blows'],9
eu,['eu'],9
es,['es'],9
boasted,['boasted'],9
recovery,['recovery'],9
especialy,['especialy'],9
receipts,['receipts'],9
entertainer,['entertainer'],9
reiterate,['reiterate'],9
enforce,['enforce'],9
enclosure,['enclosure'],9
banner,['banner'],9
remedied,['remedied'],9
sensible,['sensible'],9
encounters,['encounters'],9
blog,['blog'],9
rembrandtplein,['rembrandtplein'],9
trouser,['trouser'],9
endured,['endured'],9
executed,['executed'],9
excelled,['excelled'],9
blond,['blond'],9
ban,['ban'],9
engines,['engines'],9
blonde,['blonde'],9
relentless,['relentless'],9
tyler,['tyler'],9
released,['released'],9
reccommended,['reccommended'],9
enquiries,['enquiries'],9
restauarant,['restauarant'],9
d'albe,"[""d'albe""]",9
restauraunt,['restauraunt'],9
towncar,['towncar'],9
profusely,['profusely'],9
flagship,['flagship'],9
uninviting,['uninviting'],9
programming,['programming'],9
bellevue,['bellevue'],9
bellettini,['bellettini'],9
doll,['doll'],9
domenican,['domenican'],9
belgium,['belgium'],9
promoted,['promoted'],9
promotional,['promotional'],9
sarcastic,['sarcastic'],9
doorway,['doorway'],9
crummy,['crummy'],9
dos,['dos'],9
firmer,['firmer'],9
touted,['touted'],9
rld,['rld'],9
prosecco,['prosecco'],9
device,['device'],9
fira,['fira'],9
sans,['sans'],9
sanoa,['sanoa'],9
documentation,['documentation'],9
ropa,['ropa'],9
topic,['topic'],9
critters,['critters'],9
didn`t,['didn`t'],9
armchairs,['armchairs'],9
crockery,['crockery'],9
prizes,['prizes'],9
flipped,['flipped'],9
torch,['torch'],9
rope,['rope'],9
unloading,['unloading'],9
uniqueness,['uniqueness'],9
probs,['probs'],9
aroma,['aroma'],9
procedures,['procedures'],9
flavored,['flavored'],9
shimas,['shimas'],9
bout,['bout'],9
diversion,['diversion'],9
torres,['torres'],9
proficient,['proficient'],9
ritzy,['ritzy'],9
downgrade,['downgrade'],9
restauraunts,['restauraunts'],9
risky,['risky'],9
curtious,['curtious'],9
faxed,['faxed'],9
favourable,['favourable'],9
fav,['fav'],9
designs,['designs'],9
faux,['faux'],9
thicker,['thicker'],9
reversed,['reversed'],9
reverse,['reverse'],9
deserving,['deserving'],9
several,['several'],9
dumb,['dumb'],9
query,['query'],9
faneuil,['faneuil'],9
retrieved,['retrieved'],9
questioning,['questioning'],9
retiro,['retiro'],9
blasted,['blasted'],9
battle,['battle'],9
earthquake,['earthquake'],9
restaurent,['restaurent'],9
aston,['aston'],9
rewarding,['rewarding'],9
dripped,['dripped'],9
dramatically,['dramatically'],9
ripping,['ripping'],9
boulangeries,['boulangeries'],9
ascott,['ascott'],9
rink,['rink'],9
ashore,['ashore'],9
unfit,['unfit'],9
dragon,['dragon'],9
drainage,['drainage'],9
fetch,['fetch'],9
cuppa,['cuppa'],9
saxophone,['saxophone'],9
destroyed,['destroyed'],9
curfew,['curfew'],9
drenched,['drenched'],9
rickety,['rickety'],9
undisturbed,['undisturbed'],9
federal,['federal'],9
underwhelmed,['underwhelmed'],9
desperation,['desperation'],9
rhum,['rhum'],9
forks,['forks'],9
bicycle,['bicycle'],9
icy,['icy'],9
stanford,['stanford'],9
conservative,['conservative'],9
civic,['civic'],9
teaching,['teaching'],9
consist,['consist'],9
ville,['ville'],9
murky,['murky'],9
guarded,['guarded'],9
console,['console'],9
budweiser,['budweiser'],9
alerted,['alerted'],9
citizenm,['citizenm'],9
citigate,['citigate'],9
groundsthrough,['groundsthrough'],9
jays,['jays'],9
allee,['allee'],9
jellyfish,['jellyfish'],9
muggy,['muggy'],9
budgets,['budgets'],9
muffled,['muffled'],9
contacts,['contacts'],9
buddy,['buddy'],9
circuit,['circuit'],9
slowest,['slowest'],9
contemplating,['contemplating'],9
mouthwash,['mouthwash'],9
teenaged,['teenaged'],9
videos,['videos'],9
mouths,['mouths'],9
teabags,['teabags'],9
mushroom,['mushroom'],9
violent,['violent'],9
mussels,['mussels'],9
agressive,['agressive'],9
palmas,['palmas'],9
voila,['voila'],9
cleans,['cleans'],9
handwritten,['handwritten'],9
ahve,['ahve'],9
snobbish,['snobbish'],9
swayed,['swayed'],9
panorama,['panorama'],9
bulldog,['bulldog'],9
willis,['willis'],9
navy,['navy'],9
para,['para'],9
involving,['involving'],9
irregular,['irregular'],9
aired,['aired'],9
napkin,['napkin'],9
staffthe,['staffthe'],9
parasol,['parasol'],9
hairy,['hairy'],9
italien,['italien'],9
staggering,['staggering'],9
myth,['myth'],9
mysteriously,['mysteriously'],9
aisle,['aisle'],9
akin,['akin'],9
jail,['jail'],9
5000,['5000'],9
jordan,['jordan'],9
stomache,['stomache'],9
gonzalez,['gonzalez'],9
would'nt,"[""would'nt""]",9
misled,['misled'],9
chile,['chile'],9
kudamm,['kudamm'],9
goose,['goose'],9
persisted,['persisted'],9
330,['330'],9
sticker,['sticker'],9
verandah,['verandah'],9
320,['320'],9
skylight,['skylight'],9
labelled,['labelled'],9
surfrider,['surfrider'],9
lackluster,['lackluster'],9
context,['context'],9
lad,['lad'],9
skipping,['skipping'],9
goggles,['goggles'],9
cardboard,['cardboard'],9
venere,['venere'],9
skinny,['skinny'],9
convient,['convient'],9
skim,['skim'],9
mindful,['mindful'],9
milestone,['milestone'],9
glories,['glories'],9
global,['global'],9
milan,['milan'],9
39th,['39th'],9
periodically,['periodically'],9
stephanie,['stephanie'],9
captive,['captive'],9
judgement,['judgement'],9
sliver,['sliver'],9
alleys,['alleys'],9
chrome,['chrome'],9
montgomery,['montgomery'],9
slimy,['slimy'],9
kareoke,['kareoke'],9
kauai,['kauai'],9
wool,['wool'],9
grassy,['grassy'],9
monies,['monies'],9
tel,['tel'],9
kelly,['kelly'],9
keycards,['keycards'],9
grandma,['grandma'],9
telephones,['telephones'],9
grandchildren,['grandchildren'],9
405,['405'],9
granados,['granados'],9
granada,['granada'],9
perception,['perception'],9
pere,['pere'],9
mojili,['mojili'],9
gradually,['gradually'],9
4000,['4000'],9
moderno,['moderno'],9
chipping,['chipping'],9
tattoo,['tattoo'],9
negatives:1,['negatives:1'],9
swedish,['swedish'],9
spices,['spices'],9
obligated,['obligated'],9
warung,['warung'],9
orientals,['orientals'],9
wendys,['wendys'],9
hog,['hog'],9
tanning,['tanning'],9
coldest,['coldest'],9
aback,['aback'],9
hmm,['hmm'],9
bussle,['bussle'],9
coit,['coit'],9
imply,['imply'],9
westfield,['westfield'],9
cognac,['cognac'],9
confess,['confess'],9
wether,['wether'],9
97,['97'],9
complications,['complications'],9
ought,['ought'],9
spilling,['spilling'],9
96,['96'],9
businessman,['businessman'],9
ours,['ours'],9
nouvel,['nouvel'],9
inbetween,['inbetween'],9
notwithstanding,['notwithstanding'],9
coeur,['coeur'],9
92,['92'],9
obligatory,['obligatory'],9
oblige,['oblige'],9
observe,['observe'],9
oregano,['oregano'],9
omlet,['omlet'],9
comical,['comical'],9
hound,['hound'],9
wears,['wears'],9
ol,['ol'],9
webpage,['webpage'],9
often,['often'],9
accepting,['accepting'],9
hurried,['hurried'],9
hydrated,['hydrated'],9
opaque,['opaque'],9
hyped,['hyped'],9
ocho,['ocho'],9
talkative,['talkative'],9
openner,['openner'],9
colony,['colony'],9
sounding,['sounding'],9
aching,['aching'],9
operational,['operational'],9
acknowledgement,['acknowledgement'],9
absent,['absent'],9
acutally,['acutally'],9
ie,['ie'],9
holy,['holy'],9
washbasin,['washbasin'],9
adapted,['adapted'],9
collecting,['collecting'],9
hiccups,['hiccups'],9
noticeably,['noticeably'],9
wanchai,['wanchai'],9
oysters,['oysters'],9
whole,['whole'],9
closeness,['closeness'],9
campanile,['campanile'],9
newish,['newish'],9
networks,['networks'],9
socializing,['socializing'],9
int,['int'],9
squash,['squash'],9
intentionally,['intentionally'],9
agenda,['agenda'],9
interactive,['interactive'],9
aggravated,['aggravated'],9
hassel,['hassel'],9
pagoda,['pagoda'],9
6:00pm,['6:00pm'],9
condom,['condom'],9
harrahs,['harrahs'],9
palaces,['palaces'],9
squishy,['squishy'],9
interestingly,['interestingly'],9
cleverly,['cleverly'],9
palate,['palate'],9
palau,['palau'],9
agreeable,['agreeable'],9
neglect,['neglect'],9
harass,['harass'],9
bun,['bun'],9
insight,['insight'],9
insider,['insider'],9
spit,['spit'],9
inserted,['inserted'],9
whale,['whale'],9
symptoms,['symptoms'],9
incorrectly,['incorrectly'],9
cock,['cock'],9
8:00pm,['8:00pm'],9
nonchalant,['nonchalant'],9
overal,['overal'],9
sporadically,['sporadically'],9
overbook,['overbook'],9
coastline,['coastline'],9
waived,['waived'],9
burrito,['burrito'],9
hedges,['hedges'],9
whichever,['whichever'],9
inevitable,['inevitable'],9
nl,['nl'],9
soggy,['soggy'],9
sprays,['sprays'],9
softest,['softest'],9
spree,['spree'],9
springhill,['springhill'],9
76,['76'],9
hdtv,['hdtv'],9
overweight,['overweight'],9
insecticide,['insecticide'],9
hazard,['hazard'],9
owed,['owed'],9
midway,['midway'],9
motorcycles,['motorcycles'],9
furnitures,['furnitures'],9
liters,['liters'],9
coughing,['coughing'],9
gals,['gals'],9
bribe,['bribe'],9
could'nt,"[""could'nt""]",9
1930,['1930'],9
silky,['silky'],9
plumber,['plumber'],9
1900,['1900'],9
gabriel,['gabriel'],9
carving,['carving'],9
funniest,['funniest'],9
placement,['placement'],9
brekkie,['brekkie'],9
cerveza,['cerveza'],9
polishing,['polishing'],9
fumigate,['fumigate'],9
155,['155'],9
frustrations,['frustrations'],9
sunbathe,['sunbathe'],9
ponderosa,['ponderosa'],9
marseilles,['marseilles'],9
logo,['logo'],9
pls,['pls'],9
vacancy,['vacancy'],9
lions,['lions'],9
terrified,['terrified'],9
ymca,['ymca'],9
geese,['geese'],9
205,['205'],9
yonge,['yonge'],9
202,['202'],9
2009,['2009'],9
plaster,['plaster'],9
mediteranean,['mediteranean'],9
lightbulbs,['lightbulbs'],9
sin,['sin'],9
lil,['lil'],9
angelica,['angelica'],9
gary,['gary'],9
angles,['angles'],9
1:30pm,['1:30pm'],9
gardenview,['gardenview'],9
stride,['stride'],9
linda,['linda'],9
liner,['liner'],9
vacationer,['vacationer'],9
mayo,['mayo'],9
fronts,['fronts'],9
lola,['lola'],9
maritim,['maritim'],9
mangrove,['mangrove'],9
lugged,['lugged'],9
111,['111'],9
francesco,['francesco'],9
succeeded,['succeeded'],9
mamas,['mamas'],9
fox,['fox'],9
approval,['approval'],9
brasseries,['brasseries'],9
practicing,['practicing'],9
males,['males'],9
prada,['prada'],9
malaysia,['malaysia'],9
sucker,['sucker'],9
crave,['crave'],9
praised,['praised'],9
makaha,['makaha'],9
maintenence,['maintenence'],9
0900,['0900'],9
maintance,['maintance'],9
sugary,['sugary'],9
precaution,['precaution'],9
112,['112'],9
lucchesi,['lucchesi'],9
breasts,['breasts'],9
crabtree,['crabtree'],9
frog,['frog'],9
lonnnng,['lonnnng'],9
1400,['1400'],9
poorer,['poorer'],9
friendship,['friendship'],9
urgent,['urgent'],9
populated,['populated'],9
coventry,['coventry'],9
maribell,['maribell'],9
loops,['loops'],9
thalassa,['thalassa'],9
porridge,['porridge'],9
zurich,['zurich'],9
portland,['portland'],9
lotus,['lotus'],9
marbled,['marbled'],9
ä,['\x8aä\x8c'],9
manual,['manual'],9
breakast,['breakast'],9
submitted,['submitted'],9
appartment,['appartment'],9
generator,['generator'],9
commentary,['commentary'],9
charlotte,['charlotte'],9
coordinating,['coordinating'],9
mental,['mental'],9
corkscrew,['corkscrew'],9
germaine,['germaine'],9
corporation,['corporation'],9
giants,['giants'],9
chased,['chased'],9
supplying,['supplying'],9
leicester,['leicester'],9
mentality,['mentality'],9
yerba,['yerba'],9
microphone,['microphone'],9
amora,['amora'],9
yankee,['yankee'],9
messing,['messing'],9
20us,['20us'],9
leafy,['leafy'],9
meridian,['meridian'],9
least,['least'],9
six,['six'],9
vanessa,['vanessa'],9
tents,['tents'],9
noticing,['noticing'],8
bikinis,['bikinis'],8
suberb,['suberb'],8
cheat,['cheat'],8
nooks,['nooks'],8
8:15,['8:15'],8
seafront,['seafront'],8
metropolis,['metropolis'],8
centered,['centered'],8
coctails,['coctails'],8
rightly,['rightly'],8
manually,['manually'],8
315,['315'],8
noses,['noses'],8
draped,['draped'],8
incomplete,['incomplete'],8
duc,['duc'],8
relationship,['relationship'],8
incapable,['incapable'],8
enthusiastically,['enthusiastically'],8
lucy,['lucy'],8
defined,['defined'],8
nowadays,['nowadays'],8
wetroom,['wetroom'],8
luau,['luau'],8
laietana,['laietana'],8
inability,['inability'],8
spilled,['spilled'],8
riveria,['riveria'],8
luana,['luana'],8
sulpice,['sulpice'],8
chewy,['chewy'],8
discretion,['discretion'],8
spinach,['spinach'],8
entertainement,['entertainement'],8
subjective,['subjective'],8
discriminating,['discriminating'],8
ladder,['ladder'],8
ladders,['ladders'],8
coats,['coats'],8
indicative,['indicative'],8
lee,['lee'],8
tropicalissimo,['tropicalissimo'],8
clubbing,['clubbing'],8
swish,['swish'],8
7:00pm,['7:00pm'],8
disgustingly,['disgustingly'],8
nigh,['nigh'],8
chavon,['chavon'],8
nicholas,['nicholas'],8
samaya,['samaya'],8
swings,['swings'],8
nondescript,['nondescript'],8
delectable,['delectable'],8
tourville,['tourville'],8
whites,['whites'],8
berna,['berna'],8
misc,['misc'],8
insanely,['insanely'],8
roaring,['roaring'],8
145,['145'],8
insert,['insert'],8
switzerland,['switzerland'],8
banville,['banville'],8
infections,['infections'],8
clusters,['clusters'],8
mints,['mints'],8
cobbled,['cobbled'],8
zoologischer,['zoologischer'],8
nude,['nude'],8
sporadic,['sporadic'],8
ruff,['ruff'],8
devine,['devine'],8
labels,['labels'],8
indulgent,['indulgent'],8
yds,['yds'],8
meticulous,['meticulous'],8
looky,['looky'],8
bernini,['bernini'],8
ineffective,['ineffective'],8
calmed,['calmed'],8
wrapping,['wrapping'],8
inexplicably,['inexplicably'],8
whiff,['whiff'],8
rudy,['rudy'],8
thursdays,['thursdays'],8
implied,['implied'],8
westins,['westins'],8
cayman,['cayman'],8
rinsing,['rinsing'],8
ofcourse,['ofcourse'],8
hydro,['hydro'],8
caves,['caves'],8
cabins,['cabins'],8
103,['103'],8
spec,['spec'],8
ibero,['ibero'],8
1030,['1030'],8
iceberg,['iceberg'],8
esque,['esque'],8
escaping,['escaping'],8
tunes,['tunes'],8
specialities,['specialities'],8
104,['104'],8
ick,['ick'],8
sabrina,['sabrina'],8
occupy,['occupy'],8
absorb,['absorb'],8
mildewed,['mildewed'],8
officers,['officers'],8
mila,['mila'],8
layer,['layer'],8
magician,['magician'],8
townhouse,['townhouse'],8
seeweed,['seeweed'],8
recorded,['recorded'],8
weakest,['weakest'],8
commedia,['commedia'],8
hubbie,['hubbie'],8
sagging,['sagging'],8
hug,['hug'],8
badminton,['badminton'],8
decker,['decker'],8
hurricaine,['hurricaine'],8
decking,['decking'],8
safeway,['safeway'],8
oily,['oily'],8
decline,['decline'],8
ograde,['ograde'],8
maintains,['maintains'],8
lattes,['lattes'],8
redecoration,['redecoration'],8
huntington,['huntington'],8
identified,['identified'],8
micheal,['micheal'],8
tipsy,['tipsy'],8
10us,['10us'],8
miniature,['miniature'],8
succeed,['succeed'],8
minibars,['minibars'],8
imho,['imho'],8
tuesdays,['tuesdays'],8
oaks,['oaks'],8
balconys,['balconys'],8
10minutes,['10minutes'],8
spelled,['spelled'],8
maneuver,['maneuver'],8
mindset,['mindset'],8
suburban,['suburban'],8
aalders,['aalders'],8
impacted,['impacted'],8
environmental,['environmental'],8
cafäs,['caf\x8f\x91äs'],8
riverfront,['riverfront'],8
lombardi,['lombardi'],8
definantly,['definantly'],8
westerners,['westerners'],8
re,['\x96re'],8
balanced,['balanced'],8
occassionally,['occassionally'],8
malibu,['malibu'],8
occassional,['occassional'],8
refreshingly,['refreshingly'],8
cologne,['cologne'],8
welcomes,['welcomes'],8
secondary,['secondary'],8
larry,['larry'],8
milling,['milling'],8
lanterns,['lanterns'],8
yamanote,['yamanote'],8
cad,['cad'],8
baking,['baking'],8
309,['309'],8
10:00am,['10:00am'],8
caddy,['caddy'],8
mgmt,['mgmt'],8
lv,['lv'],8
luyken,['luyken'],8
ceasar,['ceasar'],8
luxuriously,['luxuriously'],8
imac,['imac'],8
rubbing,['rubbing'],8
dispite,['dispite'],8
swimsuit,['swimsuit'],8
bathed,['bathed'],8
charmingly,['charmingly'],8
youself,['youself'],8
museo,['museo'],8
54,['54'],8
dependable,['dependable'],8
rockerfeller,['rockerfeller'],8
lindo,['lindo'],8
molding,['molding'],8
kiddies,['kiddies'],8
1:00pm,['1:00pm'],8
roomsthe,['roomsthe'],8
bathers,['bathers'],8
mercato,['mercato'],8
jason,['jason'],8
division,['division'],8
cartier,['cartier'],8
roomier,['roomier'],8
215,['215'],8
jefferson,['jefferson'],8
eccentric,['eccentric'],8
ditto,['ditto'],8
wisely,['wisely'],8
restauants,['restauants'],8
eerie,['eerie'],8
clarify,['clarify'],8
kim,['kim'],8
transferring,['transferring'],8
5:30am,['5:30am'],8
lemongrass,['lemongrass'],8
winston,['winston'],8
charmless,['charmless'],8
58,['58'],8
effecient,['effecient'],8
roomwe,['roomwe'],8
lineups,['lineups'],8
swallow,['swallow'],8
edward,['edward'],8
stairwells,['stairwells'],8
jackie,['jackie'],8
stamped,['stamped'],8
disturbances,['disturbances'],8
1970s,['1970s'],8
wisconsin,['wisconsin'],8
belonging,['belonging'],8
staples,['staples'],8
lily,['lily'],8
naive,['naive'],8
justin,['justin'],8
canopies,['canopies'],8
accompany,['accompany'],8
dominica,['dominica'],8
statements,['statements'],8
license,['license'],8
liberal,['liberal'],8
julia,['julia'],8
chuck,['chuck'],8
totaly,['totaly'],8
melissa,['melissa'],8
suspected,['suspected'],8
lewers,['lewers'],8
dumplings,['dumplings'],8
translator,['translator'],8
45th,['45th'],8
20euros,['20euros'],8
keep,['keep'],8
montezuma,['montezuma'],8
montana,['montana'],8
due,['due'],8
206,['206'],8
wives,['wives'],8
beads,['beads'],8
jetted,['jetted'],8
restaurante,['restaurante'],8
citadines,['citadines'],8
kicks,['kicks'],8
molton,['molton'],8
within,['within'],8
circulation,['circulation'],8
jetlagged,['jetlagged'],8
blazing,['blazing'],8
documented,['documented'],8
battered,['battered'],8
charity,['charity'],8
diana,['diana'],8
jewish,['jewish'],8
blatantly,['blatantly'],8
leon,['leon'],8
keraton,['keraton'],8
chapultepec,['chapultepec'],8
choo,['choo'],8
restocking,['restocking'],8
trattorias,['trattorias'],8
transatlantic,['transatlantic'],8
demolished,['demolished'],8
tools,['tools'],8
masks,['masks'],8
martinez,['martinez'],8
misplaced,['misplaced'],8
6:45,['6:45'],8
interconti,['interconti'],8
superlative,['superlative'],8
6:00am,['6:00am'],8
locationthe,['locationthe'],8
locating,['locating'],8
locality,['locality'],8
